rank,company,revenues,revenue % change,profits,profits % change,assets,market val,change in rank 1000,employees,change in rank 500,year
1,Walmart2019,514405,0.028,6670,-0.324,219295,279880.3,-,"2,200,000",-,2019.00
2,Exxon Mobil2019,290212,0.188,20840,0.057,346196,342172,-,"71,000",-,2019.00
3,Apple2019,265595,0.159,59531,0.231,365725,895667.4,1,"132,000",1,2019.00
4,Berkshire Hathaway2019,247837,0.024,4021,-0.911,707794,493870.3,-1,"389,000",-1,2019.00
5,Amazon.com2019,232887,0.309,10073,2.321,162648,874709.5,3,"647,500",3,2019.00
6,UnitedHealth Group2019,226247,0.125,11986,0.135,152221,237255.5,-1,"300,000",-1,2019.00
7,McKesson2019,208357,0.049,67,-0.987,60381,22455.1,-1,"68,000",-1,2019.00
8,CVS Health2019,194579,0.053,-594,-1.09,196456,69951.6,-1,"295,000",-1,2019.00
9,AT&T2019,170756,0.064,19370,-0.342,531864,228444.7,-,"268,220",-,2019.00
10,AmerisourceBergen2019,167939.6,0.097,1658.4,3.55,37669.8,16785.9,2,"20,500",2,2019.00
11,Chevron2019,166339,0.236,14824,0.612,253863,234049.7,2,"48,600",2,2019.00
12,Ford Motor2019,160338,0.023,3677,-0.516,256540,35028,-1,"199,000",-1,2019.00
13,General Motors2019,147049,-0.065,8014,-,227339,52291.7,-3,"173,000",-3,2019.00
14,Costco Wholesale2019,141576,0.097,3134,0.17,40830,106512.6,1,"194,000",1,2019.00
15,Alphabet2019,136819,0.234,30736,1.427,232792,816824.2,7,"98,771",7,2019.00
16,Cardinal Health2019,136809,0.053,256,-0.801,39951,14349.5,-2,"50,200",-2,2019.00
17,Walgreens Boots Alliance2019,131537,0.113,5024,0.232,68124,59691.7,2,"299,000",2,2019.00
18,JPMorgan Chase2019,131412,0.154,32474,0.329,2622532,331451.5,2,"256,105",2,2019.00
19,Verizon Communications2019,130863,0.038,15528,-0.484,264829,244327.9,-3,"144,500",-3,2019.00
20,Kroger2019,121162,-0.012,3110,0.631,38118,19630.8,-3,"453,000",-3,2019.00
21,General Electric2019,120268,-0.016,-22355,-,309129,87009.3,-3,"283,000",-3,2019.00
22,Fannie Mae2019,120101,0.069,15959,5.479,3418318,3242.6,-1,"7,400",-1,2019.00
23,Phillips 662019,114217,0.247,5595,0.096,54302,43240.7,5,"14,200",5,2019.00
24,Valero Energy2019,111407,0.26,3122,-0.232,50155,35426.1,7,"10,261",7,2019.00
