rank,company,revenues,revenue % change,profits,profits % change,assets,market val,change in rank 1000,employees,change in rank 500,year
1,Walmart,500343.00,0.030,9862.00,-0.277,204522.00,263563.10,-,"2,300,000",-,2018
2,Exxon Mobil,244363.00,0.174,19710.00,1.514,348691.00,316157.10,2,"71,200",2,2018
3,Berkshire Hathaway,242137.00,0.083,44940.00,0.867,702095.00,492008.40,-1,"377,000",-1,2018
4,Apple,229234.00,0.063,48351.00,0.058,375319.00,851317.90,-1,"123,000",-1,2018
5,UnitedHealth Group,201159.00,0.088,10558.00,0.505,139058.00,207079.90,1,"260,000",1,2018
6,McKesson,198533.00,0.031,5070.00,1.245,60969.00,29067.00,-1,"64,500",-1,2018
7,CVS Health,184765.00,0.041,6622.00,0.245,95131.00,63114.00,-,"203,000",-,2018
8,Amazon.com,177866.00,0.308,3033.00,0.279,131310.00,700667.70,4,"566,000",4,2018
9,AT&T,160546.00,-0.020,29450.00,1.270,444097.00,218945.60,-,"254,000",-,2018
10,General Motors,157311.00,-0.055,-3864.00,-1.410,212482.00,50971.60,-2,"180,000",-2,2018
11,Ford Motor,156776.00,0.033,7602.00,0.654,257808.00,44244.30,-1,"202,000",-1,2018
12,AmerisourceBergen,153143.80,0.043,364.50,-0.745,35316.50,18937.70,-1,"19,500",-1,2018
13,Chevron,134533.00,0.251,9195.00,-,253806.00,217845.30,6,"51,900",6,2018
14,Cardinal Health,129976.00,0.069,1288.00,-0.097,40112.00,19725.80,1,"40,400",1,2018
15,Costco,129025.00,0.087,2679.00,0.140,36347.00,82686.90,1,"182,000",1,2018
16,Verizon,126034.00,0.000,30101.00,1.293,257143.00,197496.60,-2,"155,400",-2,2018
17,Kroger,122662.00,0.064,1907.00,-0.034,37197.00,20827.80,1,"449,000",1,2018
18,General Electric,122274.00,-0.035,-5786.00,-1.655,377945.00,117053.70,-5,"313,000",-5,2018
19,Walgreens Boots Alliance,118214.00,0.007,4078.00,-0.023,66009.00,64924.30,-2,"290,000",-2,2018
20,JPMorgan Chase,113899.00,0.080,24441.00,-0.012,2533600.00,375042.90,1,"252,539",1,2018
21,Fannie Mae,112394.00,0.049,2463.00,-0.800,3345529.00,1632.90,-1,"7,200",-1,2018
22,Alphabet,110855.00,0.228,12662.00,-0.350,197295.00,719123.60,5,"80,110",5,2018
23,Home Depot,100904.00,0.067,8630.00,0.085,44529.00,206271.70,-,"413,000",-,2018
24,Bank of America Corp.,100264.00,0.070,18232.00,0.018,2281234.00,306618.40,2,"209,376",2,2018
25,Express Scripts Holding,100064.60,-0.002,4517.40,0.327,54255.80,38790.60,-3,"26,600",-3,2018
26,Wells Fargo,97741.00,0.038,22183.00,0.011,1951757.00,255556.00,-1,"262,700",-1,2018
27,Boeing,93392.00,-0.012,8197.00,0.675,92333.00,192539.10,-3,"140,800",-3,2018
28,Phillips 66,91568.00,0.265,5106.00,2.284,54371.00,44729.90,6,"14,600",6,2018
29,Anthem,90039.40,0.061,3842.80,0.556,70540.00,56182.10,-,"56,000",-,2018
30,Microsoft,89950.00,0.054,21204.00,0.262,241086.00,702760.10,-2,"124,000",-2,2018
31,Valero Energy,88407.00,0.260,4065.00,0.776,50158.00,39976.70,6,"10,015",6,2018
32,Citigroup,87966.00,0.068,-6798.00,-1.456,1842465.00,172822.00,-2,"209,000",-2,2018
33,Comcast,84526.00,0.051,22714.00,1.612,186949.00,158702.80,-2,"164,000",-2,2018
34,IBM,79139.00,-0.010,5753.00,-0.515,125356.00,141334.80,-2,"366,000",-2,2018
35,Dell Technologies,78660.00,0.214,-3728.00,-,122281.00,-,6,"145,000",6,2018
36,State Farm Insurance Cos.,78330.80,0.029,2206.50,5.299,272345.20,-,-3,"65,664",-3,2018
37,Johnson & Johnson,76450.00,0.063,1300.00,-0.921,157303.00,343780.30,-2,"134,000",-2,2018
38,Freddie Mac,74676.00,0.137,5625.00,-0.280,2049776.00,877.60,1,"6,165",1,2018
39,Target,71879.00,0.034,2934.00,0.072,38999.00,37408.60,-1,"345,000",-1,2018
40,Lowe's,68619.00,0.055,3447.00,0.114,35291.00,72811.50,-,"255,000",-,2018
41,Marathon Petroleum,67610.00,0.210,3432.00,1.923,49047.00,34682.70,10,"43,800",10,2018
42,Procter & Gamble,66217.00,-0.077,15326.00,0.459,120406.00,199865.20,-6,"95,000",-6,2018
43,MetLife,66153.00,0.042,4010.00,4.013,719892.00,47571.50,-1,"49,000",-1,2018
44,UPS,65872.00,0.082,4910.00,0.431,45403.00,90156.10,2,"346,415",2,2018
45,PepsiCo,63525.00,0.012,4857.00,-0.233,79804.00,154932.50,-1,"263,000",-1,2018
46,Intel,62761.00,0.057,9601.00,-0.069,123249.00,243109.40,1,"102,700",1,2018
47,DowDuPont,62683.00,0.302,1460.00,-0.662,192164.00,148186.00,15,"98,000",15,2018
48,Archer Daniels Midland,60828.00,-0.024,1595.00,0.247,39963.00,24238.30,-3,"31,300",-3,2018
49,Aetna,60535.00,-0.041,1904.00,-0.162,55151.00,55229.20,-6,"47,950",-6,2018
50,FedEx,60319.00,0.198,2997.00,0.647,48552.00,64161.00,8,"357,000",8,2018
51,United Technologies,59837.00,0.045,4552.00,-0.100,96920.00,100666.80,-1,"204,700",-1,2018
52,Prudential Financial,59689.00,0.015,7863.00,0.800,831921.00,43685.80,-4,"49,705",-4,2018
53,Albertsons Cos.,59678.20,0.016,-373.30,-,23755.00,-,-4,"273,000",-4,2018
54,Sysco,55371.10,0.099,1142.50,0.203,17756.70,31294.20,3,"66,500",3,2018
55,Disney,55137.00,-0.009,8980.00,-0.044,95789.00,151029.20,-3,"199,000",-3,2018
56,Humana,53767.00,-0.011,2448.00,2.987,27178.00,37122.00,-3,"45,900",-3,2018
57,Pfizer,52546.00,-0.005,21308.00,1.953,171797.00,211115.30,-3,"90,200",-3,2018
58,HP,52056.00,0.079,2526.00,0.012,32913.00,35893.30,3,"49,000",3,2018
59,Lockheed Martin,51048.00,0.008,2002.00,-0.622,46521.00,96588.60,-3,"100,000",-3,2018
60,AIG,49520.00,-0.054,-6084.00,-,498301.00,49144.70,-5,"49,800",-5,2018
61,Centene,48572.00,0.193,828.00,0.473,21855.00,18703.50,5,"33,700",5,2018
62,Cisco Systems,48005.00,-0.025,9609.00,-0.105,129818.00,206623.30,-2,"72,900",-2,2018
63,HCA Healthcare,47653.00,0.065,2216.00,-0.233,36593.00,34165.10,-,"221,491",-,2018
64,Energy Transfer Equity,47487.00,0.266,954.00,-0.041,86246.00,15334.70,15,"29,486",15,2018
65,Caterpillar,45462.00,0.180,754.00,-,76962.00,88078.10,9,"98,400",9,2018
66,Nationwide,43939.90,0.096,246.50,-0.262,221256.90,-,2,"33,135",2,2018
67,Morgan Stanley,43642.00,0.150,6111.00,0.022,851733.00,96688.00,9,"57,633",9,2018
68,Liberty Mutual Insurance Group,42687.00,0.114,17.00,-0.983,142502.00,-,7,"50,000",7,2018
69,New York Life Insurance,42296.00,0.037,1866.90,0.716,303182.80,-,-4,"11,114",-4,2018
70,Goldman Sachs Group,42254.00,0.120,4286.00,-0.421,916776.00,95462.50,8,"36,600",8,2018
71,American Airlines Group,42207.00,0.050,1919.00,-0.283,51396.00,24584.30,-4,"126,600",-4,2018
72,Best Buy,42151.00,0.070,1000.00,-0.186,13049.00,20459.90,-,"125,000",-,2018
73,Cigna,41616.00,0.049,2237.00,0.198,61753.00,40734.60,-3,"46,000",-3,2018
74,Charter Communications,41581.00,0.434,9895.00,1.809,146623.00,80953.70,22,"94,800",22,2018
75,Delta Air Lines,41244.00,0.040,3577.00,-0.182,53292.00,38745.90,-4,"86,564",-4,2018
76,Facebook,40653.00,0.471,15934.00,0.560,84524.00,464190.10,22,"25,105",22,2018
77,Honeywell International,40534.00,0.031,1655.00,-0.656,59387.00,108148.50,-4,"131,000",-4,2018
78,Merck,40122.00,0.008,2394.00,-0.389,87872.00,146861.50,-9,"69,000",-9,2018
79,Allstate,38524.00,0.054,3189.00,0.699,112422.00,33477.60,5,"42,680",5,2018
80,Tyson Foods,38260.00,0.037,1774.00,0.003,28066.00,29233.10,2,"122,000",2,2018
81,United Continental Holdings,37736.00,0.032,2131.00,-0.058,42326.00,19778.10,2,"89,800",2,2018
82,Oracle,37728.00,0.018,9335.00,0.049,134991.00,186765.80,-1,"138,000",-1,2018
83,Tech Data,36775.00,0.402,116.60,-0.402,12652.60,3248.90,24,"14,000",24,2018
84,TIAA,36025.30,-0.029,1049.70,-0.297,583631.70,-,-4,"16,829",-4,2018
85,TJX,35864.70,0.081,2607.90,0.135,14058.00,51570.60,2,"249,000",2,2018
86,American Express,35583.00,0.052,2736.00,-0.494,181159.00,80234.30,-,"55,000",-,2018
87,Coca-Cola,35410.00,-0.154,1248.00,-0.809,87896.00,185207.20,-23,"61,800",-23,2018
88,Publix Super Markets,34836.80,0.016,2291.90,0.131,18183.50,-,-3,"193,000",-3,2018
89,Nike,34350.00,0.061,4240.00,0.128,23259.00,108093.90,-1,"74,400",-1,2018
90,Andeavor,34204.00,0.425,1528.00,1.082,28573.00,15386.00,27,"14,300",27,2018
91,World Fuel Services,33695.50,0.247,-170.20,-2.345,5587.80,1660.70,12,"5,000",12,2018
92,Exelon,33531.00,0.069,3770.00,2.325,116700.00,37644.10,-3,"34,621",-3,2018
93,Massachusetts Mutual Life Insurance,33495.40,-0.114,513.00,-0.597,288854.80,-,-16,"11,811",-16,2018
94,Rite Aid,32845.10,0.069,4.10,-0.976,11593.80,1793.40,-3,"70,430",-3,2018
95,ConocoPhillips,32584.00,0.338,-855.00,-,73362.00,69640.70,20,"11,400",20,2018
96,CHS,31934.80,0.052,127.90,-0.699,15973.80,-,-3,"11,626",-3,2018
97,3M,31657.00,0.051,4858.00,-0.038,37987.00,130550.30,-3,"91,536",-3,2018
98,Time Warner,31271.00,0.067,5247.00,0.336,69209.00,73758.40,-3,"26,000",-3,2018
99,General Dynamics,30973.00,-0.012,2912.00,-0.015,35046.00,65845.40,-9,"98,600",-9,2018
100,USAA,30015.80,0.106,2421.90,0.361,155390.50,-,2,"32,705",2,2018
101,Capital One Financial,29999.00,0.090,1982.00,-0.472,365693.00,46583.90,-1,"49,300",-1,2018
102,Deere,29737.70,0.116,2159.10,0.417,65786.30,50290.70,3,"60,476",3,2018
103,INTL FCStone,29423.60,0.994,6.40,-0.883,6243.40,804.30,86,"1,607",86,2018
104,Northwestern Mutual,29331.00,0.018,1017.00,0.243,265049.00,-,-7,"5,437",-7,2018
105,Enterprise Products Partners,29241.50,0.270,2799.30,0.114,54418.10,52903.60,17,"7,000",17,2018
106,Travelers Cos.,28902.00,0.046,2056.00,-0.318,103483.00,37690.50,-7,"30,800",-7,2018
107,Hewlett Packard Enterprise,28871.00,-0.424,344.00,-0.891,61406.00,27243.20,-48,"66,000",-48,2018
108,Philip Morris International,28748.00,0.077,6035.00,-0.134,42968.00,154513.80,-4,"80,600",-4,2018
109,Twenty-First Century Fox,28500.00,0.043,2952.00,0.072,50724.00,67969.30,-8,"21,700",-8,2018
110,AbbVie,28216.00,0.101,5309.00,-0.108,70786.00,150179.90,1,"29,000",1,2018
111,Abbott Laboratories,27390.00,0.313,477.00,-0.659,76250.00,104640.30,24,"99,000",24,2018
112,Progressive,26839.00,0.145,1592.20,0.544,38701.20,35478.10,8,"33,656",8,2018
113,Arrow Electronics,26812.50,0.125,402.00,-0.231,16462.80,6749.60,5,"18,800",5,2018
114,Kraft Heinz,26232.00,-0.010,10999.00,2.028,120232.00,75919.90,-8,"39,000",-8,2018
115,Plains GP Holdings,26223.00,0.299,-731.00,-8.777,26753.00,6328.20,26,"4,850",26,2018
116,Gilead Sciences,26107.00,-0.141,4628.00,-0.657,70283.00,98297.30,-24,"10,000",-24,2018
117,Mondelez International,25896.00,-0.001,2922.00,0.761,63109.00,62066.20,-8,"83,000",-8,2018
118,Northrop Grumman,25803.00,0.053,2015.00,-0.084,34917.00,60777.50,-4,"70,000",-4,2018
119,Raytheon,25348.00,0.053,2024.00,-0.085,30860.00,62265.40,-3,"64,000",-3,2018
120,Macy's,24837.00,-0.037,1547.00,1.499,19381.00,9064.80,-10,"130,000",-10,2018
121,US Foods Holding,24147.20,0.054,444.30,1.118,9037.20,7065.30,3,"25,204",3,2018
122,U.S. Bancorp,23996.00,0.055,6218.00,0.056,462040.00,83367.00,3,"72,402",3,2018
123,Dollar General,23471.00,0.068,1539.00,0.230,12516.90,25140.80,5,"129,000",5,2018
124,International Paper,23302.00,0.105,2144.00,1.372,33903.00,22063.40,9,"56,000",9,2018
125,Duke Energy,23189.00,-0.008,3059.00,0.421,137914.00,54275.90,-4,"29,060",-4,2018
126,Southern,23031.00,0.158,842.00,-0.656,111005.00,45024.40,19,"31,344",19,2018
127,Marriott International,22894.00,0.341,1372.00,0.759,23948.00,48531.20,36,"177,000",36,2018
128,Avnet,22872.10,-0.128,525.30,0.037,9699.60,5008.90,-20,"15,700",-20,2018
129,Eli Lilly,22871.30,0.078,-204.10,-1.075,44981.00,84542.20,3,"40,655",3,2018
130,Amgen,22849.00,-0.006,1979.00,-0.744,79954.00,122841.50,-7,"20,800",-7,2018
131,McDonald's,22820.40,-0.073,5192.30,0.108,33803.70,124243.60,-19,"235,000",-19,2018
132,Starbucks,22386.80,0.050,2884.70,0.024,14365.60,81370.20,-1,"277,000",-1,2018
133,Qualcomm,22291.00,-0.054,2466.00,-0.568,65486.00,82026.90,-14,"33,800",-14,2018
134,Dollar Tree,22245.50,0.074,1714.30,0.913,16332.80,22523.20,2,"116,200",2,2018
135,PBF Energy,21786.60,0.368,415.50,1.433,8118.00,3751.80,37,"3,165",37,2018
136,Icahn Enterprises,21744.00,0.330,2430.00,-,31801.00,9900.80,32,"89,034",32,2018
137,Aflac,21667.00,-0.040,4604.00,0.731,137217.00,34038.10,-11,"11,318",-11,2018
138,AutoNation,21534.60,-0.003,434.60,0.010,10271.50,4295.60,-9,"26,000",-9,2018
139,Penske Automotive Group,21389.00,0.062,613.30,0.789,10540.60,3817.20,3,"26,000",3,2018
140,Whirlpool,21253.00,0.026,350.00,-0.606,20038.00,10823.70,-3,"92,000",-3,2018
141,Union Pacific,21240.00,0.065,10712.00,1.531,57806.00,104261.10,2,"41,992",2,2018
142,Southwest Airlines,21171.00,0.037,3488.00,0.554,25110.00,33677.80,-4,"56,110",-4,2018
143,ManpowerGroup,21034.30,0.070,545.40,0.229,8883.60,7614.20,3,"29,000",3,2018
144,Thermo Fisher Scientific,20918.00,0.145,2225.00,0.101,56669.00,82952.30,10,"66,100",10,2018
145,Bristol-Myers Squibb,20776.00,0.069,1007.00,-0.774,33551.00,103415.30,2,"23,700",2,2018
146,Halliburton,20620.00,0.298,-463.00,-,25085.00,41068.30,27,"55,000",27,2018
147,Tenet Healthcare,20613.00,-0.022,-704.00,-,23385.00,2451.90,-13,"111,980",-13,2018
